,city_name,country,temperature,humidity,cloudness,wind_speed,lat,long,city_name_owm
77,richards bay,za,20.16,77,32,5.92,-28.774491,32.055503,Richards Bay
78,okakarara,na,11.51,56,0,2.17,-20.58445045,17.4615718639917,Okakarara
79,rio gallegos,ar,2.0,80,0,5.1,-51.6232921,-69.216028,Rio Gallegos
80,san pedro,bz,21.41,77,44,5.82,18.3385996,-88.4960901927024,San Pedro
81,laguna,br,36.0,18,5,4.1,-28.483118,-48.7811993,Laguna
82,new norfolk,au,14.0,62,0,4.1,-42.7801998,147.0615332,New Norfolk
83,rzeszow,pl,16.0,63,0,4.1,50.0054493,21.9913971733582,Rzeszow
84,pontal do parana,br,17.99,77,40,2.1,-25.574765,-48.3614806,Pontal do Parana
85,naryan-mar,ru,-0.05,91,92,3.57,67.637993,53.006863,Naryan-Mar
86,homer,us,11.53,62,1,8.2,59.6440876,-151.5401477,Homer
87,paamiut,gl,0.96,100,0,4.37,61.9944444,-49.6666667,Paamiut
88,guerrero negro,mx,20.66,63,0,6.27,27.9709506,-114.036389,Guerrero Negro
89,pochutla,mx,31.41,100,40,5.7,15.7431834,-96.4660973,Pochutla
90,kapaa,us,24.91,78,75,5.1,22.074286,-159.320748,Kapaa
91,mahebourg,mu,20.0,88,20,3.1,-20.4112449,57.7069601,Mahebourg
92,hambantota,lk,27.16,100,32,9.52,6.1249126,81.1242563,Hambantota
93,cidreira,br,20.11,79,0,4.42,-30.1657063,-50.218331,Cidreira
94,attawapiskat,ca,9.56,66,32,6.77,52.9239892,-82.4283489428012,Kashechewan
95,toucheng,tw,27.45,78,20,1.0,24.859217,121.823307,Toucheng
96,padang,id,26.16,100,64,0.62,-0.9524785,100.3632419,Padang
97,nakamura,jp,19.9,83,75,2.6,35.169299,136.866221,Nakamura
98,acurenam,gq,21.16,97,88,0.72,1.0328807,10.6706256,Acurenam
99,bolu,tr,12.66,99,92,1.02,40.7345276,31.6156658,Bolu
100,port elizabeth,za,19.63,82,90,2.6,-33.9617051,25.6207519,Port Elizabeth
101,deputatskiy,ru,1.46,95,92,5.57,54.8408485,61.1269918,Deputatskiy
102,sorland,no,9.26,87,80,11.78,67.6660386,12.69192,Sorland
103,nizhneyansk,ru,1.66,93,92,8.72,71.440445,136.130646,Entuziastov
104,constitucion,mx,34.0,9,20,3.1,20.568384,-97.650964,Constitucion
105,narsaq,gl,10.0,29,20,4.6,60.9127453,-46.0452698,Narsaq
106,qaanaaq,gl,-4.45,97,48,3.32,77.4686357,-69.2222746,Qaanaaq
107,shimoda,jp,20.46,100,92,2.02,34.700973,138.928685,Shimoda
108,sisimiut,gl,-1.1,95,76,1.22,66.9374603,-53.6668959,Sisimiut
109,castro,cl,9.06,99,92,2.27,-42.4823211,-73.7643786,Castro
110,namtsy,ru,6.66,43,8,5.82,62.718227,129.664246,Namtsy
111,samusu,ws,27.46,100,0,3.07,-13.9973264,-171.4287032,Falefa
